Artist,Song,Lyrics
kendrick-lamar,dna,
kendrick-lamar,yah,
kendrick-lamar,element,
kendrick-lamar,feel,
kendrick-lamar,loyalty,
kendrick-lamar,pride,
kendrick-lamar,humble,
kendrick-lamar,lust,
kendrick-lamar,love,
kendrick-lamar,xxx,
kendrick-lamar,fear,
kendrick-lamar,god,
kendrick-lamar,duckworth,
kendrick-lamar,wesleys-theory,
kendrick-lamar,for-free-interlude,
kendrick-lamar,king-kunta,
kendrick-lamar,institutionalized,
kendrick-lamar,these-walls,
kendrick-lamar,u,
kendrick-lamar,alright,
kendrick-lamar,momma,
kendrick-lamar,hood-politics,
kendrick-lamar,how-much-a-dollar-cost,
kendrick-lamar,complexion,
kendrick-lamar,the-blacker-the-berry,
kendrick-lamar,you-ain't-gotta-lie-momma-said,
kendrick-lamar,i,
kendrick-lamar,the-heart-pt-3,
kendrick-lamar,bitch-dont-kill-my-vibe,
kendrick-lamar,backseat-freestyle,
kendrick-lamar,the-art-of-peer-pressure,
kendrick-lamar,money-trees,
kendrick-lamar,poetic-justice,
kendrick-lamar,good-kid,
kendrick-lamar,maad-city,
kendrick-lamar,swimming-pools-drank-extended-version,
kendrick-lamar,sing-about-me-im-dying-of-thirst,
kendrick-lamar,real,
kendrick-lamar,compton,
kendrick-lamar,the-recipe,
kendrick-lamar,black-boy-fly,
kendrick-lamar,now-or-never,
kendrick-lamar,collect-calls,
kendrick-lamar,bitch-dont-kill-my-vibe-remix,
kendrick-lamar,fuck-your-ethnicity,
kendrick-lamar,sex-with-society,
kendrick-lamar,adhd,
kendrick-lamar,no-makeup-her-vice,
kendrick-lamar,tammyas-song-her-evils,
kendrick-lamar,chapter-six,
kendrick-lamar,poe-man-dreams-his-vice,
kendrick-lamar,the-spiteful-chant,
kendrick-lamar,keishaas-song-her-pain,
kendrick-lamar,rigamortis,
kendrick-lamar,kush-corinthians,
kendrick-lamar,members-only,
kendrick-lamar,hiiiipower,
j-cole,middle-child,
j-cole,intro-kod,
j-cole,kod,
j-cole,the-cut-off,
j-cole,atm,
j-cole,motiv8,
j-cole,kevins-heart,
j-cole,brackets,
j-cole,once-an-addict-interlude,
j-cole,friends,
j-cole,window-pain-outro,
j-cole,1985-intro-to-the-fall-off,
j-cole,for-whom-the-bell-tows,
j-cole,immortal,
j-cole,deja-vu,
j-cole,ville-mentality,
j-cole,shes-mine-pt-1,
j-cole,change,
j-cole,neighbors,
j-cole,foldin-clothes,
j-cole,shes-mine-pt-2,
j-cole,4-your-eyez-only,
j-cole,intro,
j-cole,january-28th,
j-cole,wet-dreamz,
j-cole,03-adolescence,
j-cole,a-tale-of-2-citiez,
j-cole,fire-squad,
j-cole,st-tropez,
j-cole,gomd,
j-cole,no-role-modelz,
j-cole,hello,
j-cole,apparently,
j-cole,love-yourz,
j-cole,born-sinner,
j-cole,power-trip,
j-cole,crooked-smile,
j-cole,chaining-day,
j-cole,miss-america,
j-cole,sparks-will-fly,
j-cole,villematic,
j-cole,cole-summer,
j-cole,kenny-lofton,
j-cole,chris-tucker,
j-cole,3-wishes,
j-cole,can-i-holla-at-ya,
j-cole,crunch-time,
j-cole,rise-above,
j-cole,tears-for-odb,
j-cole,dollar-and-a-dream-iii,
j-cole,cant-get-enough,
j-cole,lights-please,
j-cole,sideline-story,
j-cole,mr-nice-watch,
j-cole,cole-world,
j-cole,in-the-morning,
j-cole,the-lost-ones,
j-cole,nobodys-perfect,
j-cole,never-told,
j-cole,rise-and-shine,
j-cole,gods-gift,
j-cole,breakdown,
j-cole,cheer-up,
j-cole,nothing-lasts-forever,
j-cole,work-out,
j-cole,daddys-little-girls,
j-cole,im-gone,
j-cole,too-deep-for-the-intro,
j-cole,you-got-it,
j-cole,back-to-the-topic,
j-cole,friday-night-lights,
j-cole,enchanted,
j-cole,cost-me-a-lot,
j-cole,blow-up,
j-cole,higher,
j-cole,2face,
j-cole,the-autograph,
j-cole,best-friend,
j-cole,premeditated-murder,
j-cole,home-for-the-holidays,
j-cole,love-me-not,
j-cole,see-world,
j-cole,farewell,
drake,keep-the-family-close,
drake,9,
drake,u-with-me,
drake,feel-no-ways,
drake,hype,
drake,weston-road-flows,
drake,redemption,
drake,with-you,
drake,faithful,
drake,still-here,
drake,controlla,
drake,one-dance,
drake,grammys,
drake,childs-play,
drake,pop-style,
drake,too-good,
drake,summers-over-interlude,
drake,fire-desire,
drake,views,
drake,hotline-bling,
drake,digital-dash,
drake,big-rings,
drake,scholarships,
drake,jumpman,
drake,legend,
drake,energy,
drake,10-bands,
drake,know-yourself,
drake,no-tellin,
drake,madonna,
drake,6-god,
drake,star67,
drake,preach,
drake,wednesday-night-interlude,
drake,used-to,
drake,6-man,
drake,now-forever,
drake,company,
drake,you-the-6,
drake,jungle,
drake,6pm-in-new-york,
drake,how-about-now,
drake,my-side,
drake,tuscan-leather,
drake,furthest-thing,
drake,started-from-the-bottom,
drake,wutang-forever,
drake,own-it,
drake,worst-behaviour,
drake,from-time,
drake,hold-on-were-going-home,
drake,connect,
drake,the-language,
drake,305-to-my-city,
drake,too-much,
drake,pound-cake-paris-morton-music-2,
drake,over-my-dead-body,
drake,shot-for-me,
drake,headlines,
drake,crew-love,
drake,take-care,
drake,marvins-room-buried-alive-interlude,
drake,under-ground-kings,
drake,well-be-fine,
drake,make-me-proud,
drake,lord-knows,
drake,cameras-good-ones-go-interlude,
drake,doing-it-wrong,
drake,the-real-her,
drake,hyfr-hell-ya-fuin-right,
drake,look-what-youave-done,
drake,practice,
drake,the-ride,
logic,contra,
logic,boomtrap-protocol,
logic,yuck,
logic,indica-badu,
logic,warm-it-up,
logic,44-more,
logic,flexicution,
logic,the-jam,
logic,slave-ii-explicit,
logic,wrist,
logic,44-bars,
logic,slave,
logic,fade-away,
logic,upgrade,
logic,like-woah,
logic,young-jesus,
logic,innermission,
logic,i-am-the-greatest,
logic,city-of-stars,
logic,stainless,
logic,paradise,
logic,never-been,
logic,run-it,
logic,intro,
logic,soul-food,
logic,im-gone,
logic,gang-related,
logic,buried-alive,
logic,bounce,
logic,growing-pains-iii,
logic,never-enough,
logic,metropolis,
logic,nikki,
logic,under-pressure,
logic,till-the-end,
logic,driving-ms-daisy,
logic,now,
logic,alright,
logic,do-ya-like,
logic,aye-girl,
logic,young-sinatra-iii,
logic,no-biggie,
logic,dead-presidents-iii,
logic,inception,
logic,everybody-dies,
eminem,the-ringer,
eminem,lucky-you,
eminem,psychopath-killer,
eminem,die-alone,
eminem,guts-over-fear,
eminem,twisted,
eminem,detroit-vs-everybody,
eminem,rap-god,
eminem,beautiful-pain,
eminem,love-the-way-you-lie,
eminem,cinderella-man,
eminem,25-to-life,
eminem,no-love,
eminem,till-i-collapse,
kanye-west,yikes,
kanye-west,violent-crimes,
kanye-west,ultra-light-beam,
kanye-west,famous,
kanye-west,high-lights,
kanye-west,real-friends,
kanye-west,wolves,
kanye-west,waves,
kanye-west,no-more-parties-in-la,
kanye-west,love-lockdown,
kanye-west,say-you-will,
kanye-west,welcome-to-heartbreak,
kanye-west,heartless,
kanye-west,so-appalled,
kanye-west,monster,
kanye-west,all-of-the-lights,
kanye-west,power,
kanye-west,gorgeous,
kanye-west,runaway,
kanye-west,good-morning,
kanye-west,champion,
kanye-west,stronger,
kanye-west,homecoming,
kanye-west,gold-digger,
kanye-west,roses,
kanye-west,we-dont-care,
kanye-west,jesus-walks,
kanye-west,through-the-wire,
kanye-west,graduation-day,
kanye-west,space-ship,
kanye-west,family-business,
